Trip ID,Risk Score,Risk Level,Capacity Status,Triggered Rule,Decision,Reason,Recommended Action
TRIP-00257,0.613,HIGH,Insufficient,Risk band = HIGH; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,HIGH risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00254,0.61,HIGH,Insufficient,Risk band = HIGH; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,HIGH risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00257,0.608,HIGH,Insufficient,Risk band = HIGH; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,HIGH risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00255,0.604,HIGH,Insufficient,Risk band = HIGH; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,HIGH risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00210,0.594,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00248,0.591,MEDIUM,Available,Risk band = MEDIUM; Recoverable capacity same-day/origin; On-call not immediately required,RESEQUENCE / OPTIMISE,"MEDIUM risk exists, but recoverable dedicated capacity provides a lower-cost recovery option than on-call.",Review route/sequence before departure
TRIP-00230,0.586,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00255,0.585,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00255,0.575,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00255,0.573,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00217,0.567,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00257,0.562,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00251,0.561,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00243,0.554,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00230,0.554,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00217,0.545,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00253,0.543,MEDIUM,Available,Risk band = MEDIUM; Recoverable capacity same-day/origin; On-call not immediately required,RESEQUENCE / OPTIMISE,"MEDIUM risk exists, but recoverable dedicated capacity provides a lower-cost recovery option than on-call.",Review route/sequence before departure
TRIP-00204,0.541,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00254,0.536,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00229,0.532,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00252,0.532,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00248,0.531,MEDIUM,Available,Risk band = MEDIUM; Recoverable capacity same-day/origin; On-call not immediately required,RESEQUENCE / OPTIMISE,"MEDIUM risk exists, but recoverable dedicated capacity provides a lower-cost recovery option than on-call.",Review route/sequence before departure
TRIP-00254,0.524,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00247,0.523,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00255,0.515,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00256,0.515,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00220,0.514,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00220,0.514,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00248,0.513,MEDIUM,Available,Risk band = MEDIUM; Recoverable capacity same-day/origin; On-call not immediately required,RESEQUENCE / OPTIMISE,"MEDIUM risk exists, but recoverable dedicated capacity provides a lower-cost recovery option than on-call.",Review route/sequence before departure
TRIP-00222,0.509,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00255,0.508,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00227,0.499,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00254,0.496,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00223,0.496,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00228,0.492,MEDIUM,Available,Risk band = MEDIUM; Recoverable capacity same-day/origin; On-call not immediately required,RESEQUENCE / OPTIMISE,"MEDIUM risk exists, but recoverable dedicated capacity provides a lower-cost recovery option than on-call.",Review route/sequence before departure
TRIP-00227,0.481,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00254,0.48,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00235,0.478,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00228,0.477,MEDIUM,Available,Risk band = MEDIUM; Recoverable capacity same-day/origin; On-call not immediately required,RESEQUENCE / OPTIMISE,"MEDIUM risk exists, but recoverable dedicated capacity provides a lower-cost recovery option than on-call.",Review route/sequence before departure
TRIP-00215,0.476,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00229,0.476,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00222,0.473,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00252,0.472,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00213,0.47,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00202,0.467,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00222,0.467,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00229,0.467,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00244,0.463,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00256,0.461,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00219,0.459,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00229,0.455,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00222,0.454,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00212,0.444,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00242,0.435,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00227,0.435,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00251,0.434,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00251,0.433,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00242,0.433,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00222,0.43,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00208,0.424,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00258,0.416,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00243,0.415,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00252,0.414,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00202,0.413,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00227,0.412,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00235,0.411,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00213,0.41,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00244,0.41,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00244,0.41,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00239,0.408,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00217,0.404,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00244,0.402,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00216,0.399,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00229,0.399,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00214,0.398,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00235,0.395,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00247,0.391,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00253,0.388,MEDIUM,Available,Risk band = MEDIUM; Recoverable capacity same-day/origin; On-call not immediately required,RESEQUENCE / OPTIMISE,"MEDIUM risk exists, but recoverable dedicated capacity provides a lower-cost recovery option than on-call.",Review route/sequence before departure
TRIP-00253,0.386,MEDIUM,Available,Risk band = MEDIUM; Recoverable capacity same-day/origin; On-call not immediately required,RESEQUENCE / OPTIMISE,"MEDIUM risk exists, but recoverable dedicated capacity provides a lower-cost recovery option than on-call.",Review route/sequence before departure
TRIP-00238,0.377,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00219,0.375,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00215,0.373,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00227,0.37,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00214,0.369,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00208,0.369,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00222,0.369,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00267,0.367,MEDIUM,Available,Risk band = MEDIUM; Recoverable capacity same-day/origin; On-call not immediately required,RESEQUENCE / OPTIMISE,"MEDIUM risk exists, but recoverable dedicated capacity provides a lower-cost recovery option than on-call.",Review route/sequence before departure
TRIP-00247,0.365,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00235,0.365,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00222,0.364,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00220,0.362,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00248,0.362,MEDIUM,Available,Risk band = MEDIUM; Recoverable capacity same-day/origin; On-call not immediately required,RESEQUENCE / OPTIMISE,"MEDIUM risk exists, but recoverable dedicated capacity provides a lower-cost recovery option than on-call.",Review route/sequence before departure
TRIP-00223,0.362,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00263,0.36,MEDIUM,Available,Risk band = MEDIUM; Recoverable capacity same-day/origin; On-call not immediately required,RESEQUENCE / OPTIMISE,"MEDIUM risk exists, but recoverable dedicated capacity provides a lower-cost recovery option than on-call.",Review route/sequence before departure
TRIP-00252,0.359,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00213,0.357,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00259,0.356,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00235,0.353,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00239,0.353,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00239,0.352,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
TRIP-00214,0.349,MEDIUM,Insufficient,Risk band = MEDIUM; Insufficient dedicated capacity; Service failure risk justifies on-call,USE ON-CALL,MEDIUM risk with no recoverable dedicated capacity — on-call is a justified exception.,Approve on-call — no lower-cost recovery option available
