Trip ID,Fleet Type,Driver,Origin,Destination,Drops on Trip,Utilisation (Load/Capacity),Risk Probability,Risk Level,Vehicle Capacity (CBM),Load Carried (CBM),Unused Capacity (CBM),Opportunity
TRIP-00248,Dedicated,Driver-21,Warehouse East,Outlet-018,5,0.713,0.5312883,MEDIUM,12,8.55,3.4499999999999993,No specific opportunity identified
TRIP-00254,Dedicated,Driver-23,Warehouse East,Outlet-029,8,0.728,0.52414703,MEDIUM,12,8.73,3.2699999999999996,No specific opportunity identified
TRIP-00247,Dedicated,Driver-17,Warehouse North,Outlet-002,6,0.73,0.52263933,MEDIUM,12,8.76,3.24,No specific opportunity identified
TRIP-00255,Dedicated,Driver-29,Warehouse East,Outlet-025,7,0.669,0.51501477,MEDIUM,12,8.03,3.9700000000000006,No specific opportunity identified
TRIP-00256,Dedicated,Driver-23,Warehouse East,Outlet-019,5,0.675,0.5148568,MEDIUM,12,8.1,3.9000000000000004,No specific opportunity identified
TRIP-00220,On-Call,Driver-12,Warehouse West,Outlet-010,7,0.423,0.51354694,MEDIUM,12,5.08,6.92,N/A (On-Call trip)
TRIP-00220,On-Call,Driver-12,Warehouse West,Outlet-038,7,0.423,0.51354694,MEDIUM,12,5.08,6.92,N/A (On-Call trip)
TRIP-00248,Dedicated,Driver-21,Warehouse East,Outlet-033,5,0.713,0.5127711,MEDIUM,12,8.55,3.4499999999999993,No specific opportunity identified
TRIP-00222,Dedicated,Driver-07,Warehouse North,Outlet-071,8,0.785,0.5086297,MEDIUM,12,9.42,2.58,No specific opportunity identified
TRIP-00255,Dedicated,Driver-29,Warehouse East,Outlet-064,7,0.669,0.50837046,MEDIUM,12,8.03,3.9700000000000006,No specific opportunity identified
TRIP-00227,Dedicated,Driver-02,Warehouse North,Outlet-059,7,0.725,0.49863094,MEDIUM,12,8.7,3.3000000000000007,No specific opportunity identified
TRIP-00254,Dedicated,Driver-23,Warehouse East,Outlet-015,8,0.728,0.49643642,MEDIUM,12,8.73,3.2699999999999996,No specific opportunity identified
TRIP-00223,Dedicated,Driver-06,Warehouse West,Outlet-016,7,0.858,0.49581954,MEDIUM,12,10.3,1.6999999999999993,No specific opportunity identified
TRIP-00228,Dedicated,Driver-28,Warehouse East,Outlet-048,6,0.722,0.4917727,MEDIUM,12,8.66,3.34,No specific opportunity identified
TRIP-00227,Dedicated,Driver-02,Warehouse North,Outlet-046,7,0.725,0.48055774,MEDIUM,12,8.7,3.3000000000000007,No specific opportunity identified
TRIP-00254,Dedicated,Driver-23,Warehouse East,Outlet-024,8,0.728,0.47984147,MEDIUM,12,8.73,3.2699999999999996,No specific opportunity identified
TRIP-00235,Dedicated,Driver-23,Warehouse West,Outlet-063,6,0.723,0.47795603,MEDIUM,12,8.68,3.3200000000000003,No specific opportunity identified
TRIP-00228,Dedicated,Driver-28,Warehouse East,Outlet-067,6,0.722,0.47696823,MEDIUM,12,8.66,3.34,No specific opportunity identified
TRIP-00215,On-Call,Driver-08,Warehouse North,Outlet-013,5,0.683,0.47594178,MEDIUM,14,9.56,4.4399999999999995,N/A (On-Call trip)
TRIP-00229,Dedicated,Driver-08,Warehouse West,Outlet-050,6,0.669,0.47554865,MEDIUM,12,8.03,3.9700000000000006,No specific opportunity identified
TRIP-00222,Dedicated,Driver-07,Warehouse North,Outlet-068,8,0.785,0.47316805,MEDIUM,12,9.42,2.58,No specific opportunity identified
TRIP-00252,Dedicated,Driver-24,Warehouse North,Outlet-006,6,0.766,0.47192624,MEDIUM,12,9.19,2.8100000000000005,No specific opportunity identified
TRIP-00213,Dedicated,Driver-22,Warehouse East,Outlet-049,8,0.821,0.4698522,MEDIUM,12,9.85,2.1500000000000004,No specific opportunity identified
TRIP-00202,Dedicated,Driver-09,Warehouse East,Outlet-073,5,0.625,0.46715933,MEDIUM,12,7.5,4.5,No specific opportunity identified
TRIP-00222,Dedicated,Driver-07,Warehouse North,Outlet-043,8,0.785,0.4668356,MEDIUM,12,9.42,2.58,No specific opportunity identified
TRIP-00229,Dedicated,Driver-08,Warehouse West,Outlet-015,6,0.669,0.46664956,MEDIUM,12,8.03,3.9700000000000006,No specific opportunity identified
TRIP-00244,Dedicated,Driver-29,Warehouse North,Outlet-050,6,0.669,0.4629175,MEDIUM,12,8.03,3.9700000000000006,No specific opportunity identified
TRIP-00256,Dedicated,Driver-23,Warehouse East,Outlet-025,5,0.675,0.4612635,MEDIUM,12,8.1,3.9000000000000004,No specific opportunity identified
TRIP-00219,Dedicated,Driver-10,Warehouse North,Outlet-048,6,0.696,0.45910496,MEDIUM,12,8.35,3.6500000000000004,No specific opportunity identified
TRIP-00229,Dedicated,Driver-08,Warehouse West,Outlet-042,6,0.669,0.45539558,MEDIUM,12,8.03,3.9700000000000006,No specific opportunity identified
TRIP-00222,Dedicated,Driver-07,Warehouse North,Outlet-036,8,0.785,0.45377004,MEDIUM,12,9.42,2.58,No specific opportunity identified
TRIP-00212,Dedicated,Driver-17,Warehouse North,Outlet-067,6,0.712,0.44419083,MEDIUM,12,8.54,3.460000000000001,No specific opportunity identified
TRIP-00242,Dedicated,Driver-21,Warehouse East,Outlet-061,7,0.677,0.43490198,MEDIUM,12,8.12,3.880000000000001,No specific opportunity identified
TRIP-00227,Dedicated,Driver-02,Warehouse North,Outlet-050,7,0.725,0.4345315,MEDIUM,12,8.7,3.3000000000000007,No specific opportunity identified
TRIP-00251,Dedicated,Driver-03,Warehouse North,Outlet-056,6,0.687,0.43443906,MEDIUM,12,8.24,3.76,No specific opportunity identified
TRIP-00251,Dedicated,Driver-03,Warehouse North,Outlet-048,6,0.687,0.43290964,MEDIUM,12,8.24,3.76,No specific opportunity identified
TRIP-00242,Dedicated,Driver-21,Warehouse East,Outlet-031,7,0.677,0.4326262,MEDIUM,12,8.12,3.880000000000001,No specific opportunity identified
TRIP-00222,Dedicated,Driver-07,Warehouse North,Outlet-074,8,0.785,0.43005565,MEDIUM,12,9.42,2.58,No specific opportunity identified
TRIP-00208,Dedicated,Driver-16,Warehouse East,Outlet-059,7,0.748,0.4243601,MEDIUM,12,8.97,3.0299999999999994,No specific opportunity identified
TRIP-00258,Dedicated,Driver-17,Warehouse North,Outlet-041,8,0.718,0.41616198,MEDIUM,12,8.62,3.380000000000001,No specific opportunity identified
TRIP-00243,On-Call,Driver-09,Warehouse North,Outlet-049,7,0.557,0.41480246,MEDIUM,12,6.68,5.32,N/A (On-Call trip)
TRIP-00252,Dedicated,Driver-24,Warehouse North,Outlet-019,6,0.766,0.41441154,MEDIUM,12,9.19,2.8100000000000005,No specific opportunity identified
TRIP-00202,Dedicated,Driver-09,Warehouse East,Outlet-021,5,0.625,0.41262314,MEDIUM,12,7.5,4.5,No specific opportunity identified
TRIP-00227,Dedicated,Driver-02,Warehouse North,Outlet-037,7,0.725,0.41195098,MEDIUM,12,8.7,3.3000000000000007,No specific opportunity identified
TRIP-00235,Dedicated,Driver-23,Warehouse West,Outlet-056,6,0.723,0.41069204,MEDIUM,12,8.68,3.3200000000000003,No specific opportunity identified
TRIP-00213,Dedicated,Driver-22,Warehouse East,Outlet-064,8,0.821,0.41045836,MEDIUM,12,9.85,2.1500000000000004,No specific opportunity identified
TRIP-00244,Dedicated,Driver-29,Warehouse North,Outlet-025,6,0.669,0.41012347,MEDIUM,12,8.03,3.9700000000000006,No specific opportunity identified
TRIP-00244,Dedicated,Driver-29,Warehouse North,Outlet-072,6,0.669,0.41012347,MEDIUM,12,8.03,3.9700000000000006,No specific opportunity identified
TRIP-00239,On-Call,Driver-07,Warehouse East,Outlet-057,6,0.634,0.4077209,MEDIUM,8,5.07,2.9299999999999997,N/A (On-Call trip)
TRIP-00217,Dedicated,Driver-11,Warehouse West,Outlet-012,6,0.709,0.40378535,MEDIUM,12,8.51,3.49,No specific opportunity identified
TRIP-00244,Dedicated,Driver-29,Warehouse North,Outlet-051,6,0.669,0.40200162,MEDIUM,12,8.03,3.9700000000000006,No specific opportunity identified
TRIP-00216,Dedicated,Driver-23,Warehouse North,Outlet-049,7,0.731,0.3992727,MEDIUM,12,8.77,3.2300000000000004,No specific opportunity identified
TRIP-00229,Dedicated,Driver-08,Warehouse West,Outlet-008,6,0.669,0.39880082,MEDIUM,12,8.03,3.9700000000000006,No specific opportunity identified
TRIP-00214,Dedicated,Driver-04,Warehouse East,Outlet-019,4,0.729,0.39818794,MEDIUM,12,8.75,3.25,No specific opportunity identified
TRIP-00235,Dedicated,Driver-23,Warehouse West,Outlet-060,6,0.723,0.39451757,MEDIUM,12,8.68,3.3200000000000003,No specific opportunity identified
TRIP-00247,Dedicated,Driver-17,Warehouse North,Outlet-024,6,0.73,0.39069545,MEDIUM,12,8.76,3.24,No specific opportunity identified
TRIP-00253,Dedicated,Driver-06,Warehouse West,Outlet-006,6,0.662,0.38827386,MEDIUM,12,7.95,4.05,No specific opportunity identified
TRIP-00253,Dedicated,Driver-06,Warehouse West,Outlet-034,6,0.662,0.38611045,MEDIUM,12,7.95,4.05,No specific opportunity identified
TRIP-00238,On-Call,Driver-07,Warehouse North,Outlet-054,6,0.564,0.37733302,MEDIUM,12,6.77,5.23,N/A (On-Call trip)
TRIP-00219,Dedicated,Driver-10,Warehouse North,Outlet-002,6,0.696,0.37456393,MEDIUM,12,8.35,3.6500000000000004,No specific opportunity identified
TRIP-00215,On-Call,Driver-08,Warehouse North,Outlet-037,5,0.683,0.37277555,MEDIUM,14,9.56,4.4399999999999995,N/A (On-Call trip)
TRIP-00227,Dedicated,Driver-02,Warehouse North,Outlet-053,7,0.725,0.3701295,MEDIUM,12,8.7,3.3000000000000007,No specific opportunity identified
TRIP-00214,Dedicated,Driver-04,Warehouse East,Outlet-049,4,0.729,0.36919016,MEDIUM,12,8.75,3.25,No specific opportunity identified
TRIP-00208,Dedicated,Driver-16,Warehouse East,Outlet-033,7,0.748,0.36871025,MEDIUM,12,8.97,3.0299999999999994,No specific opportunity identified
TRIP-00222,Dedicated,Driver-07,Warehouse North,Outlet-053,8,0.785,0.36865973,MEDIUM,12,9.42,2.58,No specific opportunity identified
TRIP-00267,Dedicated,Driver-08,Warehouse North,Warehouse East,1,0.362,0.3667078,MEDIUM,12,4.34,7.66,No specific opportunity identified
TRIP-00247,Dedicated,Driver-17,Warehouse North,Outlet-074,6,0.73,0.3652715,MEDIUM,12,8.76,3.24,No specific opportunity identified
TRIP-00235,Dedicated,Driver-23,Warehouse West,Outlet-072,6,0.723,0.36472246,MEDIUM,12,8.68,3.3200000000000003,No specific opportunity identified
TRIP-00222,Dedicated,Driver-07,Warehouse North,Outlet-072,8,0.785,0.36363852,MEDIUM,12,9.42,2.58,No specific opportunity identified
TRIP-00220,On-Call,Driver-12,Warehouse West,Outlet-036,7,0.423,0.36206454,MEDIUM,12,5.08,6.92,N/A (On-Call trip)
TRIP-00248,Dedicated,Driver-21,Warehouse East,Outlet-046,5,0.713,0.36181486,MEDIUM,12,8.55,3.4499999999999993,No specific opportunity identified
TRIP-00223,Dedicated,Driver-06,Warehouse West,Outlet-052,7,0.858,0.36174548,MEDIUM,12,10.3,1.6999999999999993,No specific opportunity identified
TRIP-00263,Dedicated,Driver-18,Warehouse East,Warehouse West,1,0.527,0.35978583,MEDIUM,12,6.33,5.67,No specific opportunity identified
TRIP-00252,Dedicated,Driver-24,Warehouse North,Outlet-035,6,0.766,0.35937735,MEDIUM,12,9.19,2.8100000000000005,No specific opportunity identified
TRIP-00213,Dedicated,Driver-22,Warehouse East,Outlet-002,8,0.821,0.35737136,MEDIUM,12,9.85,2.1500000000000004,No specific opportunity identified
TRIP-00259,Dedicated,Driver-02,Warehouse East,Outlet-034,6,0.82,0.35601863,MEDIUM,12,9.84,2.16,No specific opportunity identified
TRIP-00235,Dedicated,Driver-23,Warehouse West,Outlet-005,6,0.723,0.35345593,MEDIUM,12,8.68,3.3200000000000003,No specific opportunity identified
TRIP-00239,On-Call,Driver-07,Warehouse East,Outlet-074,6,0.634,0.35310826,MEDIUM,8,5.07,2.9299999999999997,N/A (On-Call trip)
TRIP-00239,On-Call,Driver-07,Warehouse East,Outlet-033,6,0.634,0.3515318,MEDIUM,8,5.07,2.9299999999999997,N/A (On-Call trip)
TRIP-00214,Dedicated,Driver-04,Warehouse East,Outlet-003,4,0.729,0.3488731,MEDIUM,12,8.75,3.25,No specific opportunity identified
TRIP-00253,Dedicated,Driver-06,Warehouse West,Outlet-010,6,0.662,0.34752566,MEDIUM,12,7.95,4.05,No specific opportunity identified
TRIP-00235,Dedicated,Driver-23,Warehouse West,Outlet-065,6,0.723,0.34699148,MEDIUM,12,8.68,3.3200000000000003,No specific opportunity identified
TRIP-00228,Dedicated,Driver-28,Warehouse East,Outlet-058,6,0.722,0.34536666,MEDIUM,12,8.66,3.34,No specific opportunity identified
TRIP-00260,Dedicated,Driver-07,Warehouse North,Outlet-014,6,0.819,0.3391938,MEDIUM,12,9.83,2.17,No specific opportunity identified
TRIP-00244,Dedicated,Driver-29,Warehouse North,Outlet-046,6,0.669,0.33879644,MEDIUM,12,8.03,3.9700000000000006,No specific opportunity identified
TRIP-00259,Dedicated,Driver-02,Warehouse East,Outlet-036,6,0.82,0.3373188,MEDIUM,12,9.84,2.16,No specific opportunity identified
TRIP-00219,Dedicated,Driver-10,Warehouse North,Outlet-066,6,0.696,0.3368439,MEDIUM,12,8.35,3.6500000000000004,No specific opportunity identified
TRIP-00228,Dedicated,Driver-28,Warehouse East,Outlet-044,6,0.722,0.33518577,MEDIUM,12,8.66,3.34,No specific opportunity identified
TRIP-00238,On-Call,Driver-07,Warehouse North,Outlet-061,6,0.564,0.3327102,MEDIUM,12,6.77,5.23,N/A (On-Call trip)
TRIP-00204,Dedicated,Driver-19,Warehouse West,Outlet-036,6,0.768,0.33247864,MEDIUM,12,9.21,2.789999999999999,No specific opportunity identified
TRIP-00202,Dedicated,Driver-09,Warehouse East,Outlet-041,5,0.625,0.33016896,MEDIUM,12,7.5,4.5,No specific opportunity identified
TRIP-00223,Dedicated,Driver-06,Warehouse West,Outlet-032,7,0.858,0.3277742,MEDIUM,12,10.3,1.6999999999999993,No specific opportunity identified
TRIP-00213,Dedicated,Driver-22,Warehouse East,Outlet-050,8,0.821,0.32584813,MEDIUM,12,9.85,2.1500000000000004,No specific opportunity identified
TRIP-00227,Dedicated,Driver-02,Warehouse North,Outlet-064,7,0.725,0.3246419,MEDIUM,12,8.7,3.3000000000000007,No specific opportunity identified
TRIP-00240,On-Call,Driver-12,Warehouse West,Outlet-008,8,0.411,0.32405213,MEDIUM,14,5.75,8.25,N/A (On-Call trip)
TRIP-00253,Dedicated,Driver-06,Warehouse West,Outlet-055,6,0.662,0.3229326,MEDIUM,12,7.95,4.05,No specific opportunity identified
TRIP-00228,Dedicated,Driver-28,Warehouse East,Outlet-010,6,0.722,0.3213224,MEDIUM,12,8.66,3.34,No specific opportunity identified
TRIP-00212,Dedicated,Driver-17,Warehouse North,Outlet-047,6,0.712,0.31890577,MEDIUM,12,8.54,3.460000000000001,No specific opportunity identified
TRIP-00264,Dedicated,Driver-07,Warehouse North,Warehouse West,1,0.59,0.31737062,MEDIUM,12,7.08,4.92,No specific opportunity identified
TRIP-00239,On-Call,Driver-07,Warehouse East,Outlet-038,6,0.634,0.3118817,MEDIUM,8,5.07,2.9299999999999997,N/A (On-Call trip)
TRIP-00203,Dedicated,Driver-03,Warehouse East,Outlet-012,8,0.715,0.30477914,MEDIUM,12,8.58,3.42,No specific opportunity identified
TRIP-00203,Dedicated,Driver-03,Warehouse East,Outlet-065,8,0.715,0.30477914,MEDIUM,12,8.58,3.42,No specific opportunity identified
TRIP-00255,Dedicated,Driver-29,Warehouse East,Outlet-056,7,0.669,0.29921347,LOW,12,8.03,3.9700000000000006,No specific opportunity identified
TRIP-00213,Dedicated,Driver-22,Warehouse East,Outlet-019,8,0.821,0.29733098,LOW,12,9.85,2.1500000000000004,No specific opportunity identified
TRIP-00247,Dedicated,Driver-17,Warehouse North,Outlet-012,6,0.73,0.29652995,LOW,12,8.76,3.24,No specific opportunity identified
TRIP-00197,Dedicated,Driver-23,Warehouse East,Outlet-054,10,0.744,0.2942735,LOW,12,8.93,3.0700000000000003,No specific opportunity identified
TRIP-00225,On-Call,Driver-25,Warehouse North,Outlet-041,6,0.562,0.2916343,LOW,10,5.62,4.38,N/A (On-Call trip)
TRIP-00208,Dedicated,Driver-16,Warehouse East,Outlet-054,7,0.748,0.28503323,LOW,12,8.97,3.0299999999999994,No specific opportunity identified
TRIP-00216,Dedicated,Driver-23,Warehouse North,Outlet-013,7,0.731,0.28357375,LOW,12,8.77,3.2300000000000004,No specific opportunity identified
TRIP-00226,On-Call,Driver-02,Warehouse East,Outlet-026,5,0.509,0.28273252,LOW,8,4.07,3.9299999999999997,N/A (On-Call trip)
TRIP-00261,Dedicated,Driver-23,Warehouse North,Warehouse East,1,0.548,0.2813041,LOW,12,6.58,5.42,No specific opportunity identified
TRIP-00230,Dedicated,Driver-23,Warehouse East,Outlet-049,7,0.76,0.2788942,LOW,12,9.12,2.880000000000001,No specific opportunity identified
TRIP-00208,Dedicated,Driver-16,Warehouse East,Outlet-051,7,0.748,0.2691368,LOW,12,8.97,3.0299999999999994,No specific opportunity identified
TRIP-00223,Dedicated,Driver-06,Warehouse West,Outlet-049,7,0.858,0.2660406,LOW,12,10.3,1.6999999999999993,No specific opportunity identified
TRIP-00224,On-Call,Driver-22,Warehouse West,Outlet-063,6,0.605,0.2657931,LOW,12,7.26,4.74,N/A (On-Call trip)
TRIP-00233,Dedicated,Driver-02,Warehouse North,Outlet-042,5,0.877,0.26551858,LOW,12,10.52,1.4800000000000004,No specific opportunity identified
TRIP-00251,Dedicated,Driver-03,Warehouse North,Outlet-026,6,0.687,0.26391703,LOW,12,8.24,3.76,No specific opportunity identified
TRIP-00257,Dedicated,Driver-04,Warehouse East,Outlet-044,4,0.669,0.26207614,LOW,12,8.03,3.9700000000000006,No specific opportunity identified
TRIP-00197,Dedicated,Driver-23,Warehouse East,Outlet-016,10,0.744,0.25393093,LOW,12,8.93,3.0700000000000003,No specific opportunity identified
TRIP-00197,Dedicated,Driver-23,Warehouse East,Outlet-075,10,0.744,0.25393093,LOW,12,8.93,3.0700000000000003,No specific opportunity identified
TRIP-00197,Dedicated,Driver-23,Warehouse East,Outlet-068,10,0.744,0.25393093,LOW,12,8.93,3.0700000000000003,No specific opportunity identified
TRIP-00210,On-Call,Driver-20,Warehouse East,Outlet-061,6,0.695,0.25381103,LOW,8,5.56,2.4400000000000004,N/A (On-Call trip)
TRIP-00256,Dedicated,Driver-23,Warehouse East,Outlet-027,5,0.675,0.2534058,LOW,12,8.1,3.9000000000000004,No specific opportunity identified
TRIP-00230,Dedicated,Driver-23,Warehouse East,Outlet-035,7,0.76,0.24855883,LOW,12,9.12,2.880000000000001,No specific opportunity identified
TRIP-00242,Dedicated,Driver-21,Warehouse East,Outlet-012,7,0.677,0.24488363,LOW,12,8.12,3.880000000000001,No specific opportunity identified
TRIP-00230,Dedicated,Driver-23,Warehouse East,Outlet-036,7,0.76,0.24293832,LOW,12,9.12,2.880000000000001,No specific opportunity identified
TRIP-00219,Dedicated,Driver-10,Warehouse North,Outlet-050,6,0.696,0.24026994,LOW,12,8.35,3.6500000000000004,No specific opportunity identified
TRIP-00203,Dedicated,Driver-03,Warehouse East,Outlet-026,8,0.715,0.23743175,LOW,12,8.58,3.42,No specific opportunity identified
TRIP-00260,Dedicated,Driver-07,Warehouse North,Outlet-037,6,0.819,0.23709401,LOW,12,9.83,2.17,No specific opportunity identified
TRIP-00203,Dedicated,Driver-03,Warehouse East,Outlet-024,8,0.715,0.23564766,LOW,12,8.58,3.42,No specific opportunity identified
TRIP-00246,Dedicated,Driver-22,Warehouse North,Outlet-037,6,0.717,0.23192622,LOW,12,8.61,3.3900000000000006,No specific opportunity identified
TRIP-00253,Dedicated,Driver-06,Warehouse West,Outlet-051,6,0.662,0.23045811,LOW,12,7.95,4.05,No specific opportunity identified
TRIP-00198,On-Call,Driver-14,Warehouse North,Outlet-022,3,0.568,0.22687015,LOW,12,6.81,5.19,N/A (On-Call trip)
TRIP-00258,Dedicated,Driver-17,Warehouse North,Outlet-075,8,0.718,0.2264952,LOW,12,8.62,3.380000000000001,No specific opportunity identified
TRIP-00220,On-Call,Driver-12,Warehouse West,Outlet-032,7,0.423,0.22484042,LOW,12,5.08,6.92,N/A (On-Call trip)
TRIP-00245,Dedicated,Driver-16,Warehouse North,Outlet-057,8,0.788,0.2211227,LOW,12,9.46,2.539999999999999,No specific opportunity identified
TRIP-00238,On-Call,Driver-07,Warehouse North,Outlet-001,6,0.564,0.2201759,LOW,12,6.77,5.23,N/A (On-Call trip)
TRIP-00221,Dedicated,Driver-18,Warehouse East,Outlet-049,3,0.739,0.21947104,LOW,12,8.87,3.130000000000001,No specific opportunity identified
TRIP-00228,Dedicated,Driver-28,Warehouse East,Outlet-018,6,0.722,0.21629329,LOW,12,8.66,3.34,No specific opportunity identified
TRIP-00245,Dedicated,Driver-16,Warehouse North,Outlet-062,8,0.788,0.21534726,LOW,12,9.46,2.539999999999999,No specific opportunity identified
TRIP-00224,On-Call,Driver-22,Warehouse West,Outlet-014,6,0.605,0.21530461,LOW,12,7.26,4.74,N/A (On-Call trip)
TRIP-00204,Dedicated,Driver-19,Warehouse West,Outlet-004,6,0.768,0.21461476,LOW,12,9.21,2.789999999999999,No specific opportunity identified
TRIP-00240,On-Call,Driver-12,Warehouse West,Outlet-013,8,0.411,0.21393415,LOW,14,5.75,8.25,N/A (On-Call trip)
TRIP-00211,On-Call,Driver-08,Warehouse West,Outlet-046,6,0.399,0.21335459,LOW,8,3.19,4.8100000000000005,N/A (On-Call trip)
TRIP-00242,Dedicated,Driver-21,Warehouse East,Outlet-066,7,0.677,0.21324739,LOW,12,8.12,3.880000000000001,No specific opportunity identified
TRIP-00259,Dedicated,Driver-02,Warehouse East,Outlet-052,6,0.82,0.2129884,LOW,12,9.84,2.16,No specific opportunity identified
TRIP-00198,On-Call,Driver-14,Warehouse North,Outlet-066,3,0.568,0.20950122,LOW,12,6.81,5.19,N/A (On-Call trip)
TRIP-00236,Dedicated,Driver-27,Warehouse East,Outlet-042,6,0.818,0.20827048,LOW,12,9.81,2.1899999999999995,No specific opportunity identified
TRIP-00224,On-Call,Driver-22,Warehouse West,Outlet-061,6,0.605,0.2068797,LOW,12,7.26,4.74,N/A (On-Call trip)
TRIP-00238,On-Call,Driver-07,Warehouse North,Outlet-019,6,0.564,0.20554641,LOW,12,6.77,5.23,N/A (On-Call trip)
TRIP-00223,Dedicated,Driver-06,Warehouse West,Outlet-027,7,0.858,0.20552528,LOW,12,10.3,1.6999999999999993,No specific opportunity identified
